"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"32879","Operations","Master's & above","m","sourcing",1,32,3,5,"No",64,"Non-Promotion"
"32880","Procurement","Master's & above","f","other",1,34,3,9,"No",68,"Non-Promotion"
"32881","Operations","Bachelor's","f","other",1,38,5,9,"No",56,"Non-Promotion"
"32884","Sales & Marketing","Bachelor's","m","other",1,32,5,8,"No",48,"Non-Promotion"
"32885","Procurement","Master's & above","m","other",1,37,1,8,"No",68,"Non-Promotion"
"32886","Technology","Bachelor's","m","other",3,32,4,5,"No",80,"Non-Promotion"
"32887","Sales & Marketing","Bachelor's","m","other",1,30,5,7,"No",49,"Non-Promotion"
"32888","Sales & Marketing","Bachelor's","m","other",1,39,1,13,"No",52,"Non-Promotion"
"32893","Sales & Marketing","Bachelor's","m","other",2,27,5,2,"No",53,"Non-Promotion"
"32894","Finance","Master's & above","m","other",1,32,5,5,"No",58,"Non-Promotion"
"32895","Operations","Master's & above","m","sourcing",1,54,4,12,"No",61,"Non-Promotion"
"32896","Sales & Marketing","Bachelor's","m","other",1,25,3,2,"No",53,"Non-Promotion"
"32899","HR","Bachelor's","f","other",1,31,3,6,"No",50,"Non-Promotion"
"32900","Sales & Marketing","Bachelor's","f","other",3,26,1,1,"No",50,"Non-Promotion"
"32902","Technology","Master's & above","m","sourcing",2,37,1,6,"No",82,"Non-Promotion"
"32916","Sales & Marketing","Bachelor's","f","other",1,31,1,5,"No",49,"Non-Promotion"
"32917","Technology","Master's & above","f","sourcing",1,48,5,2,"No",84,"Non-Promotion"
"32919","Sales & Marketing","Master's & above","f","other",1,35,3,4,"No",52,"Non-Promotion"
"32920","Sales & Marketing","Bachelor's","m","sourcing",1,30,3,6,"No",49,"Non-Promotion"
"32921","Technology","Bachelor's","m","other",1,33,2,9,"No",81,"Non-Promotion"
"32922","Sales & Marketing","Bachelor's","m","sourcing",1,37,3,7,"No",47,"Non-Promotion"
"32924","Procurement","Bachelor's","f","sourcing",1,50,5,23,"No",74,"Non-Promotion"
"32925","Technology","Master's & above","m","sourcing",1,44,5,9,"No",83,"Promotion"
"32928","Finance","Below Secondary","m","sourcing",1,24,1,2,"No",56,"Non-Promotion"
"32929","Procurement","Bachelor's","m","other",1,29,2,4,"No",68,"Non-Promotion"
"32931","Sales & Marketing","Master's & above","m","sourcing",1,38,5,12,"No",50,"Non-Promotion"
"32936","Sales & Marketing","Bachelor's","m","other",1,28,4,3,"No",53,"Non-Promotion"
"32937","Finance","Bachelor's","f","sourcing",1,30,3,4,"No",62,"Non-Promotion"
"32938","Sales & Marketing","Bachelor's","m","other",1,32,4,9,"No",46,"Non-Promotion"
"32944","Operations","Bachelor's","f","other",1,47,3,15,"No",58,"Non-Promotion"
"32948","Procurement","Bachelor's","f","other",1,28,4,2,"No",64,"Non-Promotion"
"32950","Analytics","Bachelor's","m","other",2,32,3,3,"No",86,"Non-Promotion"
"32952","Technology","Master's & above","m","sourcing",1,36,1,10,"No",81,"Non-Promotion"
"32953","Operations","Bachelor's","f","sourcing",1,35,4,4,"No",58,"Non-Promotion"
"32958","Operations","Bachelor's","m","sourcing",1,29,4,3,"No",56,"Non-Promotion"
"32959","Analytics","Bachelor's","m","other",1,42,1,5,"No",83,"Non-Promotion"
"32962","Analytics","Bachelor's","f","sourcing",1,30,5,6,"No",84,"Non-Promotion"
"32965","Technology","Bachelor's","f","sourcing",1,39,5,12,"No",81,"Non-Promotion"
"32966","Operations","Bachelor's","m","other",1,31,4,7,"No",61,"Non-Promotion"
"32967","Procurement","Bachelor's","f","other",1,56,5,5,"No",69,"Non-Promotion"
"32968","Sales & Marketing","Master's & above","m","sourcing",1,46,3,20,"No",44,"Non-Promotion"
"32969","Sales & Marketing","Bachelor's","m","other",2,46,1,13,"No",48,"Non-Promotion"
"32971","Analytics","Bachelor's","m","other",1,31,5,4,"No",86,"Non-Promotion"
"32972","Sales & Marketing","Bachelor's","m","other",5,28,3,2,"No",54,"Non-Promotion"
"32973","Operations","Bachelor's","m","other",1,26,5,4,"No",64,"Non-Promotion"
"32976","Operations","Bachelor's","m","sourcing",1,39,3,3,"No",63,"Non-Promotion"
"32984","Operations","Bachelor's","f","other",1,31,3,2,"No",57,"Non-Promotion"
"32987","Sales & Marketing","Master's & above","m","other",1,36,5,10,"No",50,"Non-Promotion"
"32989","Procurement","Bachelor's","m","sourcing",1,35,3,3,"No",68,"Non-Promotion"
"32992","Operations","Bachelor's","f","sourcing",1,32,3,10,"No",60,"Non-Promotion"
"32994","Procurement","Bachelor's","m","other",3,29,1,3,"No",73,"Non-Promotion"
"32996","Operations","Bachelor's","f","other",1,39,5,4,"Yes",58,"Promotion"
"32998","Operations","Bachelor's","m","other",1,29,3,5,"No",61,"Non-Promotion"
"33000","Sales & Marketing","Master's & above","m","other",1,48,3,3,"No",52,"Non-Promotion"
"33005","Procurement","Bachelor's","m","sourcing",2,28,2,6,"No",68,"Non-Promotion"
"33006","Finance","Bachelor's","m","sourcing",1,32,3,6,"No",62,"Non-Promotion"
"33008","Procurement","Bachelor's","m","other",1,31,3,6,"No",69,"Non-Promotion"
"33011","Analytics","Bachelor's","m","sourcing",1,36,1,4,"No",86,"Non-Promotion"
"33013","Operations","Bachelor's","m","other",1,24,5,2,"No",56,"Non-Promotion"
"33015","Analytics","Bachelor's","m","other",1,26,3,4,"No",86,"Non-Promotion"
"33017","Analytics","Master's & above","m","other",2,46,5,23,"No",89,"Promotion"
"33020","Sales & Marketing","Master's & above","m","sourcing",1,43,1,15,"No",49,"Non-Promotion"
"33029","Technology","Master's & above","m","other",1,41,3,15,"No",94,"Promotion"
"33032","Operations","Bachelor's","m","other",1,28,3,2,"No",61,"Non-Promotion"
"33033","Sales & Marketing","Bachelor's","m","other",2,27,2,4,"No",46,"Non-Promotion"
"33035","Procurement","Bachelor's","m","sourcing",3,59,4,19,"No",68,"Non-Promotion"
"33036","Operations","Bachelor's","m","other",1,29,5,2,"No",59,"Non-Promotion"
"33050","Operations","Master's & above","m","other",2,40,3,7,"No",63,"Non-Promotion"
"33053","Sales & Marketing","Master's & above","m","other",1,44,4,7,"No",48,"Non-Promotion"
"33055","Operations","Bachelor's","m","other",1,33,3,4,"No",63,"Non-Promotion"
"33057","Operations","Bachelor's","f","sourcing",1,38,3,3,"No",61,"Non-Promotion"
"33059","Procurement","Bachelor's","f","sourcing",1,38,4,7,"No",70,"Non-Promotion"
"33062","Procurement","Bachelor's","m","sourcing",1,28,5,5,"No",65,"Non-Promotion"
"33066","Procurement","Bachelor's","f","other",1,30,1,8,"No",70,"Non-Promotion"
"33067","Technology","Bachelor's","f","other",2,29,3,6,"No",76,"Non-Promotion"
"33068","Sales & Marketing","Bachelor's","m","other",1,31,3,3,"No",63,"Promotion"
"33069","Operations","Bachelor's","m","sourcing",1,32,4,5,"No",61,"Non-Promotion"
"33073","Sales & Marketing","Bachelor's","f","other",1,29,3,2,"No",55,"Non-Promotion"
"33075","Technology","Master's & above","m","sourcing",1,53,4,19,"No",80,"Non-Promotion"
"33076","Analytics","Bachelor's","m","other",1,29,5,5,"No",83,"Non-Promotion"
"33077","Technology","Master's & above","m","sourcing",1,43,4,7,"No",81,"Non-Promotion"
"33079","Procurement","Master's & above","m","other",1,39,5,4,"No",63,"Non-Promotion"
"33092","HR","Master's & above","f","other",1,42,1,14,"No",52,"Non-Promotion"
"33096","Finance","Bachelor's","m","sourcing",1,28,3,7,"No",56,"Non-Promotion"
"33101","Sales & Marketing","Bachelor's","m","sourcing",1,32,1,4,"No",52,"Non-Promotion"
"33103","Operations","Bachelor's","m","other",1,41,1,12,"No",57,"Non-Promotion"
"33107","Sales & Marketing","Master's & above","m","sourcing",2,43,3,5,"No",51,"Non-Promotion"
"33108","R&D","Bachelor's","m","other",4,31,5,2,"No",82,"Non-Promotion"
"33109","Technology","Master's & above","f","other",4,35,3,10,"No",83,"Promotion"
"33111","Operations","Bachelor's","f","other",1,28,4,5,"No",62,"Non-Promotion"
"33114","Technology","Master's & above","m","referred",1,49,5,7,"No",77,"Non-Promotion"
"33116","Procurement","Bachelor's","m","sourcing",1,32,4,7,"No",72,"Non-Promotion"
"33117","HR","Bachelor's","m","sourcing",1,34,5,3,"No",49,"Non-Promotion"
"33118","Sales & Marketing","Bachelor's","m","other",3,30,3,5,"No",50,"Non-Promotion"
"33122","Sales & Marketing","Bachelor's","m","other",3,35,1,9,"No",48,"Non-Promotion"
"33123","Operations","Master's & above","f","other",1,53,4,7,"No",64,"Non-Promotion"
"33124","Sales & Marketing","Bachelor's","m","sourcing",5,26,3,4,"No",52,"Non-Promotion"
"33128","HR","Bachelor's","m","sourcing",1,34,3,7,"No",63,"Promotion"
"33129","Technology","Bachelor's","m","sourcing",3,32,2,2,"No",80,"Non-Promotion"
"33131","Analytics","Bachelor's","m","sourcing",1,28,4,4,"No",82,"Non-Promotion"
"33132","Analytics","Bachelor's","m","other",1,29,5,5,"No",81,"Non-Promotion"
"33133","Sales & Marketing","Bachelor's","m","other",1,36,2,4,"No",50,"Non-Promotion"
"33134","Analytics","Bachelor's","m","other",1,37,1,11,"No",87,"Non-Promotion"
"33139","Procurement","Bachelor's","f","other",1,34,3,6,"No",68,"Non-Promotion"
"33147","Operations","Bachelor's","f","other",1,35,4,9,"No",62,"Non-Promotion"
"33148","Operations","Master's & above","m","other",1,47,5,17,"No",70,"Promotion"
"33150","HR","Bachelor's","f","other",1,28,3,2,"No",54,"Non-Promotion"
"33152","Sales & Marketing","Bachelor's","m","other",2,28,2,4,"No",55,"Non-Promotion"
"33156","Analytics","Bachelor's","m","sourcing",1,34,5,8,"No",81,"Non-Promotion"
"33162","Procurement","Bachelor's","f","other",1,39,3,3,"No",69,"Non-Promotion"
"33165","Legal","Bachelor's","f","other",1,32,4,3,"No",68,"Non-Promotion"
"33166","Technology","Master's & above","m","other",4,37,3,9,"No",84,"Non-Promotion"
"33167","Procurement","Bachelor's","m","other",1,34,3,7,"No",73,"Non-Promotion"
"33169","Finance","Bachelor's","m","sourcing",2,34,3,7,"No",59,"Non-Promotion"
"33170","Sales & Marketing","Bachelor's","m","other",1,60,5,6,"No",50,"Non-Promotion"
"33171","Operations","Below Secondary","m","other",1,24,5,2,"No",57,"Non-Promotion"
"33172","Analytics","Bachelor's","m","sourcing",1,28,5,3,"No",83,"Non-Promotion"
"33177","HR","Bachelor's","m","other",1,29,2,4,"No",49,"Non-Promotion"
"33178","Procurement","Bachelor's","m","other",1,49,1,5,"No",68,"Non-Promotion"
"33181","Technology","Bachelor's","m","other",1,29,3,6,"No",82,"Non-Promotion"
"33183","Analytics","Bachelor's","m","sourcing",1,30,4,4,"No",81,"Non-Promotion"
"33185","Procurement","Master's & above","f","other",1,50,4,6,"No",68,"Non-Promotion"
"33186","Sales & Marketing","Bachelor's","m","other",1,54,5,22,"No",46,"Non-Promotion"
"33187","Procurement","Bachelor's","f","other",1,30,3,5,"No",68,"Non-Promotion"
"33188","Operations","Bachelor's","m","other",1,30,1,6,"No",61,"Non-Promotion"
"33189","Sales & Marketing","Master's & above","m","sourcing",1,35,4,6,"No",49,"Non-Promotion"
"33190","Procurement","Master's & above","m","other",3,51,3,19,"No",69,"Non-Promotion"
"33192","Technology","Master's & above","f","other",1,39,3,6,"No",78,"Non-Promotion"
"33193","Technology","Bachelor's","f","other",1,22,4,2,"No",77,"Non-Promotion"
"33194","Operations","Bachelor's","f","other",1,35,4,7,"No",64,"Non-Promotion"
"33195","Technology","Bachelor's","f","other",1,31,3,5,"No",82,"Non-Promotion"
"33196","Technology","Bachelor's","f","sourcing",1,35,3,8,"No",77,"Non-Promotion"
"33201","Procurement","Bachelor's","m","other",2,37,2,9,"No",71,"Non-Promotion"
"33205","Operations","Bachelor's","m","sourcing",1,52,5,15,"No",60,"Non-Promotion"
"33207","R&D","Bachelor's","m","sourcing",1,35,3,2,"No",81,"Non-Promotion"
"33208","Analytics","Master's & above","m","other",1,33,3,5,"No",87,"Non-Promotion"
"33217","Operations","Master's & above","m","sourcing",1,38,3,4,"No",62,"Non-Promotion"
"33221","Technology","Bachelor's","m","other",1,25,1,3,"No",78,"Non-Promotion"
"33222","Sales & Marketing","Master's & above","f","sourcing",1,32,3,4,"No",53,"Non-Promotion"
"33223","Procurement","Master's & above","f","other",1,29,3,2,"No",69,"Non-Promotion"
"33228","Sales & Marketing","Bachelor's","m","sourcing",1,49,3,4,"No",52,"Non-Promotion"
"33230","Sales & Marketing","Master's & above","m","other",1,39,3,11,"No",49,"Non-Promotion"
"33233","Technology","Below Secondary","m","other",1,26,5,2,"No",81,"Non-Promotion"
"33234","Operations","Bachelor's","f","sourcing",1,43,3,13,"No",57,"Non-Promotion"
"33237","R&D","Master's & above","m","sourcing",1,38,5,9,"No",87,"Non-Promotion"
"33239","Procurement","Master's & above","m","sourcing",1,59,3,26,"No",69,"Non-Promotion"
"33241","HR","Below Secondary","m","other",1,25,4,2,"No",48,"Non-Promotion"
"33242","Sales & Marketing","Bachelor's","m","sourcing",1,30,4,2,"No",51,"Non-Promotion"
"33244","Operations","Bachelor's","f","other",1,57,4,7,"No",62,"Non-Promotion"
"33246","Operations","Master's & above","m","other",1,32,1,5,"No",56,"Non-Promotion"
"33251","Sales & Marketing","Bachelor's","m","other",1,34,3,7,"No",54,"Non-Promotion"
"33252","Sales & Marketing","Bachelor's","f","other",1,28,5,2,"No",49,"Non-Promotion"
"33253","Technology","Master's & above","m","other",1,45,3,6,"No",76,"Non-Promotion"
"33263","Operations","Bachelor's","m","sourcing",1,29,3,3,"No",60,"Non-Promotion"
"33264","Technology","Master's & above","f","other",1,37,4,9,"No",74,"Non-Promotion"
"33267","Sales & Marketing","Bachelor's","m","other",2,33,1,4,"No",51,"Non-Promotion"
"33270","Sales & Marketing","Bachelor's","m","other",1,34,4,3,"No",50,"Non-Promotion"
"33273","Procurement","Master's & above","m","other",2,30,3,3,"No",70,"Non-Promotion"
"33275","Technology","Master's & above","f","sourcing",2,41,3,4,"No",75,"Non-Promotion"
"33276","Sales & Marketing","Master's & above","m","sourcing",1,44,4,6,"No",43,"Non-Promotion"
"33278","Operations","Bachelor's","m","sourcing",1,33,3,5,"No",57,"Non-Promotion"
"33282","Procurement","Bachelor's","f","sourcing",1,26,3,2,"No",64,"Promotion"
"33283","Sales & Marketing","Master's & above","m","other",2,36,1,4,"No",47,"Non-Promotion"
"33284","Technology","Bachelor's","f","other",1,30,4,3,"No",84,"Promotion"
"33286","Operations","Bachelor's","m","other",1,27,5,4,"No",59,"Non-Promotion"
"33288","Legal","Bachelor's","m","other",1,37,5,9,"No",59,"Non-Promotion"
"33290","Procurement","Bachelor's","m","other",1,26,5,2,"No",68,"Non-Promotion"
"33291","Sales & Marketing","Bachelor's","f","other",1,31,2,2,"No",43,"Non-Promotion"
"33293","Operations","Bachelor's","m","other",1,48,3,7,"No",58,"Non-Promotion"
"33294","Sales & Marketing","Bachelor's","f","other",1,39,3,9,"No",47,"Non-Promotion"
"33299","Operations","Bachelor's","m","other",2,28,5,2,"No",54,"Promotion"
"33300","Sales & Marketing","Bachelor's","f","other",1,32,3,7,"No",49,"Non-Promotion"
"33304","R&D","Master's & above","m","other",1,29,3,2,"No",83,"Non-Promotion"
"33309","Legal","Bachelor's","f","sourcing",3,28,3,5,"No",66,"Non-Promotion"
"33311","HR","Bachelor's","m","sourcing",1,30,5,5,"No",52,"Non-Promotion"
"33316","Procurement","Master's & above","m","other",1,41,5,6,"No",70,"Non-Promotion"
"33320","Operations","Bachelor's","f","sourcing",1,33,3,8,"No",60,"Non-Promotion"
"33321","Sales & Marketing","Master's & above","f","other",2,40,3,11,"No",61,"Promotion"
"33322","Analytics","Bachelor's","m","sourcing",3,27,3,3,"No",80,"Non-Promotion"
"33324","Sales & Marketing","Bachelor's","f","other",1,32,3,5,"No",47,"Non-Promotion"
"33326","Operations","Master's & above","f","sourcing",2,33,2,3,"No",61,"Non-Promotion"
"33327","Operations","Bachelor's","f","other",1,35,4,2,"No",57,"Non-Promotion"
"33333","Operations","Bachelor's","f","sourcing",1,31,4,6,"No",55,"Non-Promotion"
"33336","Procurement","Master's & above","f","sourcing",1,51,1,7,"No",70,"Non-Promotion"
"33337","R&D","Master's & above","m","sourcing",1,35,5,7,"No",84,"Non-Promotion"
"33338","Technology","Bachelor's","m","sourcing",1,29,2,2,"No",82,"Non-Promotion"
"33348","Sales & Marketing","Bachelor's","m","sourcing",1,35,5,5,"No",48,"Non-Promotion"
"33349","Sales & Marketing","Bachelor's","m","sourcing",1,30,5,6,"No",48,"Non-Promotion"
"33351","Analytics","Bachelor's","f","other",1,26,3,2,"No",86,"Non-Promotion"
"33352","Operations","Bachelor's","m","other",1,43,2,3,"No",62,"Non-Promotion"
"33357","HR","Master's & above","m","sourcing",2,58,3,12,"No",48,"Non-Promotion"
"33362","Procurement","Master's & above","f","other",1,35,3,8,"No",68,"Non-Promotion"
"33364","Sales & Marketing","Master's & above","m","other",1,33,5,6,"No",54,"Non-Promotion"
"33375","Sales & Marketing","Master's & above","f","sourcing",1,33,5,6,"No",46,"Non-Promotion"
"33377","Operations","Bachelor's","f","sourcing",1,30,4,2,"No",57,"Non-Promotion"
"33378","Sales & Marketing","Bachelor's","m","other",1,32,3,5,"No",45,"Non-Promotion"
"33379","Procurement","Bachelor's","m","other",1,41,3,15,"No",72,"Non-Promotion"
"33382","Operations","Bachelor's","m","other",1,41,3,5,"No",57,"Non-Promotion"
"33384","Sales & Marketing","Bachelor's","f","sourcing",1,29,3,4,"No",51,"Non-Promotion"
"33385","Sales & Marketing","Bachelor's","m","sourcing",1,35,1,7,"No",54,"Non-Promotion"
"33386","R&D","Master's & above","m","other",1,33,3,6,"No",87,"Non-Promotion"
"33387","Procurement","Bachelor's","m","other",1,30,3,5,"No",72,"Non-Promotion"
"33389","Procurement","Master's & above","f","sourcing",1,36,4,5,"No",62,"Non-Promotion"
"33393","Procurement","Bachelor's","f","sourcing",1,39,1,7,"No",71,"Non-Promotion"
"33394","Sales & Marketing","Bachelor's","m","other",1,40,5,4,"Yes",50,"Promotion"
"33400","Sales & Marketing","Bachelor's","m","other",1,29,1,6,"No",55,"Non-Promotion"
"33401","Procurement","Bachelor's","m","other",2,27,1,1,"No",71,"Non-Promotion"
"33402","Finance","Bachelor's","m","sourcing",2,28,3,2,"No",58,"Non-Promotion"
"33404","Sales & Marketing","Master's & above","m","other",1,32,4,6,"No",48,"Non-Promotion"
"33406","Procurement","Master's & above","f","other",1,40,3,13,"No",75,"Non-Promotion"
"33412","Analytics","Bachelor's","m","other",1,56,4,14,"No",85,"Non-Promotion"
"33413","HR","Bachelor's","m","sourcing",1,27,3,2,"No",54,"Non-Promotion"
"33416","Sales & Marketing","Master's & above","m","sourcing",1,42,1,3,"No",48,"Non-Promotion"
"33419","Sales & Marketing","Bachelor's","f","other",1,39,1,7,"No",52,"Non-Promotion"
"33420","HR","Bachelor's","m","other",1,32,4,9,"No",47,"Non-Promotion"
"33421","Analytics","Bachelor's","m","other",1,33,2,5,"No",87,"Non-Promotion"
"33427","Sales & Marketing","Bachelor's","m","sourcing",2,32,4,3,"No",51,"Non-Promotion"
"33428","Sales & Marketing","Bachelor's","m","sourcing",1,39,1,3,"No",49,"Non-Promotion"
"33429","Finance","Bachelor's","m","sourcing",2,30,3,4,"No",58,"Non-Promotion"
"33431","Operations","Bachelor's","m","sourcing",1,33,3,7,"No",72,"Promotion"
"33437","Finance","Bachelor's","f","other",1,51,5,7,"No",57,"Non-Promotion"
"33441","Analytics","Bachelor's","m","sourcing",1,47,3,5,"No",86,"Non-Promotion"
"33442","Sales & Marketing","Bachelor's","m","other",1,34,5,2,"No",52,"Non-Promotion"
"33445","Procurement","Bachelor's","f","other",1,27,3,3,"No",71,"Non-Promotion"
"33450","Legal","Bachelor's","m","sourcing",1,29,1,4,"No",63,"Non-Promotion"
"33452","Analytics","Bachelor's","m","other",1,27,3,4,"No",88,"Non-Promotion"
"33453","Sales & Marketing","Bachelor's","f","other",1,32,4,7,"No",51,"Non-Promotion"
"33454","Operations","Bachelor's","m","other",1,26,4,2,"No",61,"Non-Promotion"
"33464","Technology","Bachelor's","m","other",1,40,3,12,"No",80,"Non-Promotion"
"33466","Legal","Bachelor's","m","other",1,26,5,2,"Yes",60,"Non-Promotion"
"33468","Procurement","Master's & above","m","other",1,36,1,9,"No",70,"Non-Promotion"
"33469","HR","Bachelor's","f","other",1,25,1,2,"No",49,"Non-Promotion"
"33477","Operations","Master's & above","f","other",2,34,1,10,"No",58,"Non-Promotion"
"33479","Finance","Bachelor's","m","other",1,34,3,3,"No",60,"Non-Promotion"
"33481","Analytics","Bachelor's","m","sourcing",2,41,3,3,"No",89,"Non-Promotion"
"33488","Procurement","Master's & above","f","other",2,50,3,4,"No",69,"Non-Promotion"
"33491","Sales & Marketing","Bachelor's","m","other",1,33,3,7,"No",45,"Non-Promotion"
"33492","Procurement","Bachelor's","m","other",1,33,2,7,"No",70,"Non-Promotion"
"33494","Legal","Bachelor's","m","other",1,33,3,6,"No",58,"Non-Promotion"
"33497","Sales & Marketing","Bachelor's","m","sourcing",1,45,4,13,"No",43,"Non-Promotion"
"33498","Operations","Bachelor's","f","sourcing",1,35,5,7,"No",84,"Promotion"
"33499","Operations","Bachelor's","f","other",1,30,1,5,"No",56,"Non-Promotion"
"33500","Technology","Bachelor's","f","other",1,28,1,3,"No",83,"Non-Promotion"
"33505","Sales & Marketing","Master's & above","f","sourcing",1,32,3,5,"No",51,"Non-Promotion"
"33513","Operations","Bachelor's","m","other",1,36,2,3,"No",60,"Non-Promotion"
"33515","Operations","Bachelor's","f","sourcing",1,31,3,6,"No",64,"Promotion"
"33517","Procurement","Bachelor's","m","sourcing",1,36,5,4,"No",70,"Non-Promotion"
"33522","Procurement","Master's & above","m","other",1,41,3,3,"No",70,"Non-Promotion"
"33527","Procurement","Bachelor's","m","sourcing",2,32,3,5,"No",69,"Non-Promotion"
"33528","Sales & Marketing","Bachelor's","m","other",2,38,4,9,"No",53,"Non-Promotion"
"33534","Sales & Marketing","Master's & above","m","sourcing",1,38,4,5,"No",83,"Promotion"
"33535","Sales & Marketing","Bachelor's","f","other",1,32,1,5,"No",50,"Non-Promotion"
"33536","Operations","Master's & above","m","sourcing",1,41,3,7,"No",55,"Non-Promotion"
"33537","Operations","Bachelor's","f","sourcing",1,43,1,6,"No",61,"Non-Promotion"
"33543","Sales & Marketing","Bachelor's","m","sourcing",1,39,1,5,"No",48,"Non-Promotion"
"33544","HR","Bachelor's","f","other",1,31,1,4,"No",49,"Non-Promotion"
"33545","Procurement","Master's & above","f","sourcing",1,48,3,4,"No",71,"Non-Promotion"
"33550","Operations","Bachelor's","m","other",1,38,3,3,"No",59,"Non-Promotion"
"33552","Sales & Marketing","Bachelor's","m","other",1,31,1,4,"No",54,"Non-Promotion"
"33554","Sales & Marketing","Bachelor's","m","other",1,37,1,9,"No",48,"Non-Promotion"
"33556","Operations","Master's & above","m","other",1,38,4,9,"No",55,"Non-Promotion"
"33558","Technology","Bachelor's","f","referred",1,28,3,2,"No",79,"Non-Promotion"
"33560","Procurement","Bachelor's","m","other",3,31,3,5,"No",71,"Non-Promotion"
"33561","Sales & Marketing","Bachelor's","m","sourcing",1,33,3,10,"No",49,"Non-Promotion"
"33564","Procurement","Bachelor's","m","other",1,29,5,6,"No",70,"Non-Promotion"
"33566","Technology","Bachelor's","f","other",1,29,3,3,"No",81,"Promotion"
"33567","Legal","Bachelor's","m","sourcing",1,33,3,3,"No",55,"Non-Promotion"
"33570","Sales & Marketing","Bachelor's","m","sourcing",2,38,3,6,"No",47,"Non-Promotion"
"33571","Procurement","Master's & above","f","other",1,52,3,21,"No",67,"Non-Promotion"
"33572","Analytics","Bachelor's","m","other",1,26,4,2,"No",86,"Non-Promotion"
"33576","Procurement","Master's & above","m","other",1,35,2,6,"No",71,"Non-Promotion"
"33578","Technology","Bachelor's","m","other",1,42,4,14,"No",79,"Non-Promotion"
"33582","HR","Bachelor's","f","other",1,33,5,3,"No",46,"Non-Promotion"
"33585","Sales & Marketing","Bachelor's","m","sourcing",1,45,4,18,"No",52,"Promotion"
"33586","Sales & Marketing","Master's & above","m","other",1,42,5,2,"No",56,"Promotion"
"33589","Operations","Master's & above","m","sourcing",1,32,4,6,"No",60,"Non-Promotion"
"33592","Analytics","Master's & above","m","sourcing",1,35,5,9,"No",84,"Promotion"
"33594","Analytics","Master's & above","m","other",1,42,3,4,"No",83,"Non-Promotion"
"33596","Sales & Marketing","Bachelor's","m","sourcing",1,21,3,2,"No",48,"Non-Promotion"
"33599","Sales & Marketing","Bachelor's","m","other",1,51,5,10,"No",49,"Non-Promotion"
"33600","Sales & Marketing","Bachelor's","m","referred",1,30,2,2,"No",51,"Non-Promotion"
"33604","Sales & Marketing","Master's & above","m","sourcing",1,34,3,4,"No",49,"Non-Promotion"
"33608","Sales & Marketing","Bachelor's","m","referred",2,33,5,3,"No",49,"Non-Promotion"
"33609","Sales & Marketing","Master's & above","m","other",1,57,3,7,"No",50,"Non-Promotion"
"33618","Operations","Bachelor's","f","other",1,27,5,2,"No",59,"Non-Promotion"
"33619","Procurement","Bachelor's","m","sourcing",1,38,3,2,"No",69,"Non-Promotion"
"33621","Sales & Marketing","Bachelor's","m","other",1,36,1,11,"No",48,"Non-Promotion"
"33623","Operations","Master's & above","f","other",1,35,5,4,"No",57,"Promotion"
"33626","Procurement","Bachelor's","m","sourcing",1,33,5,7,"No",70,"Non-Promotion"
"33627","Technology","Bachelor's","m","sourcing",1,34,5,6,"No",84,"Non-Promotion"
"33628","Technology","Master's & above","f","other",1,53,3,9,"No",80,"Non-Promotion"
"33630","Sales & Marketing","Bachelor's","m","other",1,48,5,18,"No",52,"Non-Promotion"
"33631","Finance","Bachelor's","m","other",1,29,2,6,"No",57,"Non-Promotion"
"33632","Sales & Marketing","Bachelor's","m","other",2,26,5,2,"No",49,"Non-Promotion"
"33637","Technology","Bachelor's","m","other",1,24,4,2,"No",75,"Non-Promotion"
"33640","Procurement","Master's & above","f","other",1,34,5,8,"No",71,"Non-Promotion"
"33651","Procurement","Bachelor's","f","other",1,40,3,5,"No",75,"Non-Promotion"
"33656","Sales & Marketing","Bachelor's","m","sourcing",2,35,3,4,"No",49,"Non-Promotion"
"33657","HR","Bachelor's","m","sourcing",2,32,3,7,"No",52,"Non-Promotion"
"33658","Sales & Marketing","Bachelor's","m","sourcing",1,30,5,4,"No",53,"Non-Promotion"
"33660","Procurement","Master's & above","f","sourcing",8,43,4,3,"No",72,"Non-Promotion"
"33666","Analytics","Bachelor's","m","sourcing",1,30,3,5,"No",86,"Non-Promotion"
"33667","Operations","Bachelor's","m","other",1,37,4,10,"No",63,"Non-Promotion"
"33668","Sales & Marketing","Bachelor's","m","other",3,33,3,6,"No",47,"Non-Promotion"
"33670","Operations","Bachelor's","m","sourcing",1,27,3,2,"No",63,"Non-Promotion"
"33671","HR","Master's & above","m","sourcing",1,48,3,18,"No",45,"Non-Promotion"
"33675","Analytics","Bachelor's","m","other",1,29,1,2,"No",80,"Non-Promotion"
"33679","HR","Bachelor's","m","other",1,37,5,9,"No",47,"Non-Promotion"
"33682","Sales & Marketing","Bachelor's","m","other",1,34,5,9,"No",43,"Non-Promotion"
"33688","Sales & Marketing","Bachelor's","m","sourcing",3,30,4,6,"No",48,"Non-Promotion"
"33689","Legal","Bachelor's","m","other",1,30,2,4,"No",57,"Non-Promotion"
"33691","Sales & Marketing","Bachelor's","m","referred",1,34,3,6,"No",50,"Non-Promotion"
"33692","Technology","Bachelor's","f","sourcing",1,33,4,4,"No",82,"Non-Promotion"
"33697","Analytics","Master's & above","m","other",1,34,4,2,"No",83,"Non-Promotion"
